year,genre,title,movieRating,avg_vote
2005,"Comedy, Horror, Sci-Fi",The Naked Monster,okay,5.6
2005,Drama,What Is It?,okay,5.6
2005,"Action, Adventure, Fantasy",Fantastic Four,okay,5.7
2005,"Animation, Drama, Family",Corpse Bride,good,7.3
2005,"Action, Adventure, Fantasy",Star Wars: Episode III - Revenge of the Sith,good,7.5
2005,"Comedy, Drama",Shooting Vegetarians,okay,4.8
2005,"Crime, Drama, Thriller",The Prodigy,okay,5.5
2005,Comedy,Angels with Angles,okay,4.8
2005,"Crime, Drama, Mystery",Firecracker,okay,5.4
2005,"Comedy, Family",Bob the Butler,okay,5.5
2005,Comedy,Bad Girls from Valley High,okay,3.5
2005,"Crime, Drama, Thriller",Ripley Under Ground,good,6.1
2005,"Comedy, Romance",Lucky 13,okay,4.6
2005,"Sci-Fi, Thriller",Cl.One,okay,3.3
2005,Comedy,Fortunes,okay,4.3
2005,Drama,Water,good,7.7
2005,"Adventure, Family, Fantasy",Mee-Shee: The Water Giant,okay,5.3
2005,"Comedy, Drama",In Memory of My Father,,6.0
2005,"Comedy, Horror",Cursed,okay,5.0
2005,Thriller,Imposture,good,6.4
2005,"Comedy, Horror",2001 Maniacs,okay,5.3
2005,"Animation, Adventure, Sci-",Thru the Moebius Strip,okay,5.1
2005,"Comedy, Sport",The Ringer,okay,5.8
2005,"Horror, Sci-Fi",From Venus,okay,4.5
2005,Drama,Heaven's Neighbors,good,7.1
2005,"Crime, Drama",Havoc,okay,5.5
2005,"Comedy, Romance",Alchemy,okay,5.4
2005,"Adventure, Drama, War",Iluminados por el fuego,good,6.8
2005,"Action, Adventure, Horror",Man-Thing,okay,4.0
2005,"Adventure, Drama, Family",The Keeper: The Legend of Omar Khayyam,good,6.4
2005,"Drama, Musical, Romance",Rent,good,6.9
2005,"Action, Adventure, Romance",The Sea Wolf,okay,3.6
2005,"Drama, Romance",Going Shopping,okay,4.7
2005,Drama,The Civilization of Maxwell Bright,good,6.5
2005,"Comedy, Romance",All Babes Want to Kill Me,okay,4.0
2005,Thriller,Black Wine,okay,4.3
2005,"Action, Thriller",Dark Assassin,okay,3.3
2005,"Comedy, Drama, Mystery",Love Thy Neighbor,okay,3.6
2005,"Comedy, Romance",Funny Valentine,okay,4.4
2005,"Comedy, Sport",Les Boys IV,okay,4.9
2005,"Action, Romance, Comedy",Extreme Dating,okay,5.2
2005,"Drama, Crime",Tracks,okay,5.0
2005,"Animation, Adventure, Come",The Curse of the Were-Rabbit,good,7.4
2005,"Comedy, Drama, Thriller",Break a Leg,okay,5.1
2005,Drama,Constellation,okay,3.8
2005,"Comedy, Drama, Family",Because of Winn-Dixie,good,6.3
2005,"Action, Adventure, Horror",A Sound of Thunder,okay,4.2
2005,"Action, Adventure, Comedy",Sahara,,6.0
2005,"Comedy, Drama",Thumbsucker,good,6.6
2005,"Drama, Romance",El viento,good,6.8
2005,"Action, Adventure, Drama",Kingdom of Heaven,good,7.2
2005,"Crime, Drama",Blodsbröder,bad,2.8
2005,Comedy,Ze film,okay,5.4
2005,Mystery,Los suicidas,okay,5.5
2005,"Comedy, Drama, Romance",Sabah,good,6.8
2005,"Comedy, Romance","Jesus, Mary and Joey",okay,4.8
2005,"Drama, Thriller",Her Name Is Carla,okay,5.0
2005,"Action, Drama, War",The Great Raid,good,6.7
2005,"Comedy, Family",The Bike Squad,okay,3.1
2005,"Comedy, Romance",Dirty Love,okay,3.6
