year,genre,title,movieRating,duration,avg_vote,watchability
2005,"Comedy, Horror, Sci-Fi",The Naked Monster,okay,100,5.6,really long movie
2005,Drama,What Is It?,okay,72,5.6,avg length movie
2007,Comedy,The Junior Defenders,okay,83,4.3,avg length movie
2008,"Comedy, Drama, Sci-Fi",Quality Time,,82,3.8,avg length movie
2005,"Action, Adventure, Fantasy",Fantastic Four,okay,106,5.7,really long movie
2005,"Animation, Drama, Family",Corpse Bride,good,77,7.3,avg length movie
2005,"Action, Adventure, Fantasy",Star Wars: Episode III - Revenge of the Sith,good,140,7.5,really long movie
2005,"Comedy, Drama",Shooting Vegetarians,okay,76,4.8,avg length movie
2010,Drama,Pál Adrienn,good,136,6.7,really long movie
2009,"Comedy, Drama",Rózsaszín sajt,good,93,6.1,really long movie
2005,"Crime, Drama, Thriller",The Prodigy,okay,120,5.5,really long movie
2010,Drama,A zöld sárkány gyermekei,good,89,6.8,avg length movie
2008,"Biography, Drama, Music",Geliebte Clara,okay,107,5.8,really long movie
2005,Comedy,Angels with Angles,okay,87,4.8,avg length movie
2007,"Drama, History",I Viceré,good,120,6.3,really long movie
2006,"Animation, Comedy, Musical",Live Freaky Die Freaky,okay,75,5.0,avg length movie
2008,"Crime, Thriller",The Bank Job,good,111,7.2,really long movie
2006,"Comedy, Mystery",Death of a Saleswoman,bad,77,1.5,avg length movie
2005,"Crime, Drama, Mystery",Firecracker,okay,112,5.4,really long movie
2009,"Action, Drama, Romance",Sanam Teri Kasam,okay,170,5.1,really long movie
2006,"Drama, Thriller",Children of Men,good,109,7.9,really long movie
2007,"Crime, Drama, Mystery",Awake,good,84,6.5,avg length movie
2008,"Comedy, Drama, Music",Berlin Calling,good,100,7.3,really long movie
2007,"Drama, Romance",Partition,good,116,6.9,really long movie
2005,"Comedy, Family",Bob the Butler,okay,90,5.5,no data
2005,Comedy,Bad Girls from Valley High,,84,3.5,avg length movie
2005,"Crime, Drama, Thriller",Ripley Under Ground,good,101,6.1,really long movie
2005,"Comedy, Romance",Lucky 13,okay,95,4.6,really long movie
2005,"Sci-Fi, Thriller",Cl.One,,112,3.3,really long movie
2007,Comedy,Tortilla Heaven,okay,98,5.3,really long movie
2005,Comedy,Fortunes,okay,91,4.3,really long movie
2005,Drama,Water,good,117,7.7,really long movie
2007,Drama,Terra Sonâmbula,good,97,6.9,really long movie
2005,"Adventure, Family, Fantasy",Mee-Shee: The Water Giant,okay,95,5.3,really long movie
2007,"Drama, Fantasy",Hitler Meets Christ,okay,76,4.1,avg length movie
2006,Comedy,Funny Money,okay,98,5.3,really long movie
2005,"Comedy, Drama",In Memory of My Father,okay,96,6.0,really long movie
2006,"Comedy, Sci-Fi",Pretty Cool,okay,92,4.2,really long movie
2005,"Comedy, Horror",Cursed,okay,97,5.0,really long movie
2007,"Action, Fantasy, Thriller",Ghost Rider,okay,114,5.2,really long movie
2006,"Crime, Drama, Thriller",.45,okay,101,5.6,really long movie
2005,Thriller,Imposture,good,101,6.4,really long movie
2005,"Comedy, Horror",2001 Maniacs,okay,87,5.3,avg length movie
2006,Drama,Love Is the Drug,okay,96,5.5,really long movie
2005,"Animation, Adventure, Sci-",Thru the Moebius Strip,okay,87,5.1,avg length movie
2005,"Comedy, Sport",The Ringer,okay,94,5.8,really long movie
2006,"Comedy, Romance",How to Go Out on a Date in Queens,okay,90,4.3,no data
2005,"Horror, Sci-Fi",From Venus,okay,88,4.5,avg length movie
2007,"Comedy, Music",The Bros.,,91,3.3,really long movie
2005,Drama,Heaven's Neighbors,good,115,7.1,really long movie
2006,Horror,Beyond the Wall of Sleep,bad,84,2.8,avg length movie
2007,"Crime, Drama",Brooklyn Rules,good,99,6.3,really long movie
2006,"Comedy, Drama, Romance",Obsluhoval jsem anglického krále,good,113,7.4,really long movie
2005,"Crime, Drama",Havoc,okay,85,5.5,avg length movie
2005,"Comedy, Romance",Alchemy,okay,86,5.4,avg length movie
2006,"Horror, Mystery, Thriller",Under Surveillance,okay,89,4.2,avg length movie
2007,"Drama, Fantasy",Universal Groove,good,74,6.2,avg length movie
2005,"Adventure, Drama, War",Iluminados por el fuego,good,100,6.8,really long movie
2009,"Horror, Mystery, Thriller",T.M.A.,okay,100,4.6,really long movie
2005,"Action, Adventure, Horror",Man-Thing,okay,97,4.0,really long movie
2007,"Crime, Drama, Thriller",Before the Devil Knows You're Dead,good,117,7.3,really long movie
2007,"Action, Comedy, Crime",Rush Hour 3,good,91,6.2,really long movie
2005,"Adventure, Drama, Family",The Keeper: The Legend of Omar Khayyam,good,95,6.4,really long movie
2005,"Drama, Musical, Romance",Rent,good,135,6.9,really long movie
2005,"Action, Adventure, Romance",The Sea Wolf,,94,3.6,really long movie
2005,"Drama, Romance",Going Shopping,okay,106,4.7,really long movie
2006,"Animation, Comedy",Slipp Jimmy fri,okay,86,6.0,avg length movie
2005,Drama,The Civilization of Maxwell Bright,good,107,6.5,really long movie
