year,genre,title,movieRating,duration,avg_vote
2005,"Comedy, Horror, Sci-Fi",The Naked Monster,okay,100,5.6
2005,Drama,What Is It?,okay,72,5.6
2005,"Action, Adventure, Fantasy",Fantastic Four,okay,106,5.7
2005,"Animation, Drama, Family",Corpse Bride,good,77,7.3
2005,"Action, Adventure, Fantasy",Star Wars: Episode III - Revenge of the Sith,good,140,7.5
2005,"Comedy, Drama",Shooting Vegetarians,okay,76,4.8
2005,"Crime, Drama, Thriller",The Prodigy,okay,120,5.5
2005,Comedy,Angels with Angles,okay,87,4.8
2005,"Crime, Drama, Mystery",Firecracker,okay,112,5.4
2005,"Comedy, Family",Bob the Butler,okay,90,5.5
2005,Comedy,Bad Girls from Valley High,,84,3.5
2005,"Crime, Drama, Thriller",Ripley Under Ground,good,101,6.1
2005,"Comedy, Romance",Lucky 13,okay,95,4.6
2005,"Sci-Fi, Thriller",Cl.One,,112,3.3
2005,Comedy,Fortunes,okay,91,4.3
2005,Drama,Water,good,117,7.7
2005,"Adventure, Family, Fantasy",Mee-Shee: The Water Giant,okay,95,5.3
2005,"Comedy, Drama",In Memory of My Father,okay,96,6.0
2005,"Comedy, Horror",Cursed,okay,97,5.0
2005,Thriller,Imposture,good,101,6.4
2005,"Comedy, Horror",2001 Maniacs,okay,87,5.3
2005,"Animation, Adventure, Sci-",Thru the Moebius Strip,okay,87,5.1
2005,"Comedy, Sport",The Ringer,okay,94,5.8
2005,"Horror, Sci-Fi",From Venus,okay,88,4.5
2005,Drama,Heaven's Neighbors,good,115,7.1
2005,"Crime, Drama",Havoc,okay,85,5.5
2005,"Comedy, Romance",Alchemy,okay,86,5.4
2005,"Adventure, Drama, War",Iluminados por el fuego,good,100,6.8
2005,"Action, Adventure, Horror",Man-Thing,okay,97,4.0
2005,"Adventure, Drama, Family",The Keeper: The Legend of Omar Khayyam,good,95,6.4
2005,"Drama, Musical, Romance",Rent,good,135,6.9
2005,"Action, Adventure, Romance",The Sea Wolf,,94,3.6
2005,"Drama, Romance",Going Shopping,okay,106,4.7
2005,Drama,The Civilization of Maxwell Bright,good,107,6.5
2005,"Comedy, Romance",All Babes Want to Kill Me,okay,82,4.0
2005,Thriller,Black Wine,okay,88,4.3
2005,"Action, Thriller",Dark Assassin,,82,3.3
2005,"Comedy, Drama, Mystery",Love Thy Neighbor,,89,3.6
2005,"Comedy, Romance",Funny Valentine,okay,90,4.4
2005,"Comedy, Sport",Les Boys IV,okay,121,4.9
2005,"Action, Romance, Comedy",Extreme Dating,okay,96,5.2
2005,"Drama, Crime",Tracks,okay,92,5.0
2005,"Animation, Adventure, Come",The Curse of the Were-Rabbit,good,85,7.4
2005,"Comedy, Drama, Thriller",Break a Leg,okay,98,5.1
2005,Drama,Constellation,,96,3.8
2005,"Comedy, Drama, Family",Because of Winn-Dixie,good,106,6.3
2005,"Action, Adventure, Horror",A Sound of Thunder,okay,101,4.2
2005,"Action, Adventure, Comedy",Sahara,okay,124,6.0
2005,"Comedy, Drama",Thumbsucker,good,96,6.6
2005,"Drama, Romance",El viento,good,92,6.8
2005,"Action, Adventure, Drama",Kingdom of Heaven,good,144,7.2
2005,"Crime, Drama",Blodsbröder,bad,90,2.8
2005,Comedy,Ze film,okay,105,5.4
2005,Mystery,Los suicidas,okay,80,5.5
2005,"Comedy, Drama, Romance",Sabah,good,86,6.8
2005,"Comedy, Romance","Jesus, Mary and Joey",okay,105,4.8
2005,"Drama, Thriller",Her Name Is Carla,okay,85,5.0
2005,"Action, Drama, War",The Great Raid,good,132,6.7
2005,"Comedy, Family",The Bike Squad,,79,3.1
2005,"Comedy, Romance",Dirty Love,,91,3.6
2005,"Animation, Action, Adventu",Lung do kei yuen,okay,85,4.9
2005,"Comedy, Drama",My Suicidal Sweetheart,okay,115,5.5
2005,"Drama, History, Musical",Taj Mahal: An Eternal Love Story,okay,164,5.2
2005,"Action, Adventure, Crime",xXx: State of the Union,okay,101,4.4
2005,"Adventure, Family, Fantasy",Harry Potter and the Goblet of Fire,good,157,7.7
2005,"Comedy, Crime",Man of the House,okay,100,5.4
2005,"Comedy, Drama, Romance",Fever Pitch,good,104,6.2
2005,"Crime, Drama, Horror",Antikörper,good,127,7.0
2005,"Crime, Drama, Thriller",Dot.Kill,okay,87,4.7
2005,"Drama, Mystery, Romance",Keep Your Distance,okay,94,5.2
2005,"Action, Crime, Drama",Zerkalnye voyny. Otrazhenie pervoe,bad,109,2.9
2005,"Drama, Romance",The Trouble with Men and Women,okay,80,4.7
2005,"Action, Comedy, Musical",Sledge: The Untold Story,,83,3.5
2005,"Comedy, Crime, Drama",Nowhere Man,,78,3.7
2005,"Drama, Romance",Shopgirl,good,106,6.3
2005,"Sci-Fi, Action, Comedy",Diamond Zero,okay,85,4.3
2005,"Action, Adventure, Family",Beauty and the Beast,okay,90,4.1
2005,"Animation, Adventure, Come",The Magic Roundabout,okay,85,5.2
2005,"Comedy, Drama, Music",Daltry Calhoun,okay,100,5.1
2005,"Action, Biography, Drama",Strike the Tent,okay,96,5.3
2005,"Action, Crime, Drama",Hostage,good,113,6.6
2005,"Biography, Drama",Self Medicated,okay,107,5.7
2005,"Action, Crime, Drama",Unleashed,good,103,7.0
2005,"Comedy, Crime, Drama",Dear Wendy,good,105,6.6
2005,Drama,Manderlay,good,139,7.3
2005,"Drama, Fantasy, Music",The PianoTuner of EarthQuakes,good,99,6.3
2005,"Drama, War",Äideistä parhain,good,111,7.6
2005,Comedy,Fugitives Run,,83,3.1
2005,"Drama, Romance",The Lost City,good,144,6.6
2005,"Biography, Drama, History",Mangal Pandey: The Rising,good,150,6.6
2005,Comedy,Waiting...,good,94,6.8
2005,"Drama, Romance, Thriller",Asylum,good,99,6.1
2005,"Comedy, Fantasy, Horror",Die You Zombie Bastards!,okay,97,4.4
2005,"Biography, Drama, History",Netaji Subhas Chandra Bose: The Forgotten Hero,good,208,7.5
2005,"Comedy, Horror",Slaughterhouse of the Rising Sun,,82,3.7
2005,"Drama, Family, Romance",An Unfinished Life,good,108,7.0
2005,Drama,Zwarte zwanen,good,95,6.3
2005,"Animation, Adventure, Come",Madagascar,good,86,6.9
2005,Drama,Tweek City,okay,86,4.0
2005,"Biography, Drama, History",Cinderella Man,good,144,8.0
2005,"Action, Adventure, Comedy",The Crow: Wicked Prayer,,99,3.0
2005,"Drama, History, Sport",The Game of Their Lives,good,101,6.1
2005,"Action, Adventure, Comedy",The Brothers Grimm,okay,118,5.9
2005,"Comedy, Drama, Fantasy",The Illustrated Family Doctor,okay,102,5.8
2005,"Biography, Drama, Sport",Lords of Dogtown,good,107,7.1
2005,"Comedy, Drama, Romance",The Family Stone,good,103,6.3
2005,"Action, Comedy, Crime",Mr. & Mrs. Smith,good,120,6.5
2005,Drama,The Ballad of Jack and Rose,good,112,6.6
