year,movie_count,avg_movie_duration,avg_rating
1906,1,70.0,good movie year
1911,4,75.25,good movie year
1912,5,76.0,good movie year
1913,13,84.3846,good movie year
1914,21,75.9524,good movie year
1915,21,86.7619,good movie year
1916,33,75.3333,good movie year
1917,23,68.2174,good movie year
1918,23,92.7391,good movie year
1919,47,83.9149,good movie year
1920,46,80.2174,good movie year
1921,45,88.2,good movie year
1922,41,92.5366,good movie year
1923,35,102.3714,good movie year
1924,48,98.0625,good movie year
1925,68,86.7794,good movie year
1926,72,90.4861,good movie year
1927,75,89.9333,good movie year
1928,84,89.2143,good movie year
1929,138,89.7391,good movie year
1930,168,81.2143,good movie year
1931,216,81.1065,good movie year
1932,239,79.0418,good movie year
1933,251,79.8127,good movie year
1934,272,79.9669,good movie year
1935,276,83.2246,good movie year
1936,280,84.5571,good movie year
1937,295,86.8136,good movie year
1938,268,85.9813,good movie year
1939,292,86.8801,good movie year
1940,294,89.8163,good movie year
1941,297,89.3636,good movie year
1942,291,85.8557,good movie year
1943,267,89.9251,good movie year
1944,259,89.6062,good movie year
1945,242,88.6694,good movie year
1946,268,89.9254,good movie year
1947,289,92.9654,good movie year
1948,324,92.966,good movie year
1949,326,92.4387,good movie year
1950,332,91.3494,good movie year
1951,356,91.7331,good movie year
1952,371,92.6199,good movie year
1953,396,89.3965,good movie year
1954,355,94.062,good movie year
1955,388,95.5129,good movie year
1956,383,94.4151,good movie year
1957,425,93.8353,good movie year
1958,444,94.5495,good movie year
1959,400,96.5925,good movie year
1960,404,100.698,good movie year
1961,418,98.9976,good movie year
1962,431,101.5128,good movie year
1963,421,99.8931,good movie year
1964,465,99.357,good movie year
1965,469,101.8955,good movie year
1966,483,99.7081,good movie year
1967,529,99.518,good movie year
1968,569,99.7188,good movie year
1969,557,99.614,good movie year
1970,597,99.5008,good movie year
1971,653,99.755,good movie year
1972,633,98.4692,good movie year
1973,650,98.6554,good movie year
1974,605,99.6314,good movie year
1975,553,102.9186,good movie year
1976,610,100.0262,good movie year
1977,597,102.5913,good movie year
1978,542,102.2011,good movie year
1979,579,101.7997,good movie year
1980,580,104.3672,good movie year
1981,600,103.99,good movie year
1982,628,102.2054,good movie year
1983,621,101.3655,good movie year
1984,634,101.5315,good movie year
1985,689,101.9884,good movie year
1986,761,99.3417,good movie year
1987,822,99.1971,okay movie year
1988,852,101.6526,okay movie year
1989,846,101.8723,okay movie year
1990,762,103.4475,good movie year
1991,775,103.6761,good movie year
1992,772,104.6697,good movie year
1993,818,105.2249,good movie year
1994,858,104.1235,okay movie year
1995,937,102.5112,okay movie year
1996,969,102.3705,okay movie year
1997,1089,102.7043,okay movie year
1998,1153,102.5655,okay movie year
1999,1354,102.904,okay movie year
2000,1317,102.9787,okay movie year
2001,1429,102.6172,okay movie year
2002,1404,102.8932,okay movie year
2003,1478,104.2821,okay movie year
2004,1662,103.5788,okay movie year
2005,1806,102.6633,okay movie year
2006,2045,102.3188,okay movie year
2007,2075,101.6458,okay movie year
2008,2140,101.8294,okay movie year
2009,2277,100.9513,okay movie year
2010,2253,102.9095,okay movie year
2011,2389,100.9146,bad movie year
2012,2517,100.2471,bad movie year
2013,2749,101.4187,bad movie year
2014,2851,101.6875,okay movie year
2015,2903,101.7888,bad movie year
2016,3033,102.1273,okay movie year
2017,3106,102.7701,okay movie year
2018,2880,104.6049,okay movie year
2019,1567,107.5341,good movie year
